UserID,FoodId,rating
U240,F19,5
U240,F8,5
U240,F10,5
U240,F1,5
U240,F3,5
U240,F23,4
U240,F4,4
U240,F26,3
U240,F24,3
U240,F2,3
U240,F22,3
U240,F14,3
U240,F11,3
U240,F7,3
U240,F17,3
U240,F28,2
U240,F16,2
U240,F6,1
U240,F5,1
U240,F25,1
U239,F27,5
U239,F21,5
U239,F10,5
U239,F2,5
U239,F20,5
U239,F26,5
U239,F3,5
U239,F4,5
U239,F5,5
U239,F24,5
U239,F29,4
U239,F8,4
U239,F22,4
U239,F1,4
U239,F14,3
U239,F19,3
U239,F9,3
U239,F18,2
U239,F16,1
U239,F7,1
U238,F3,5
U238,F15,5
U238,F4,5
U238,F24,5
U238,F30,4
U238,F5,4
U238,F21,4
U238,F19,4
U238,F23,4
U238,F17,4
U238,F25,4
U238,F29,4
U238,F20,4
U238,F12,3
U238,F6,3
U238,F2,3
U238,F27,3
U238,F1,3
U238,F13,3
U238,F28,3
U237,F13,5
U237,F15,5
U237,F23,5
U237,F28,5
U237,F18,4
U237,F21,4
U237,F20,4
U237,F6,4
U237,F17,4
U237,F14,4
U237,F3,4
U237,F9,3
U237,F24,3
U237,F25,3
U237,F2,3
U237,F19,2
U237,F12,2
U237,F26,2
U237,F30,2
U237,F29,1
U236,F18,4
U236,F8,4
U236,F14,4
U236,F20,4
U236,F13,4
U236,F22,4
U236,F9,4
U236,F7,4
U236,F17,4
U236,F27,4
U236,F4,4
U236,F3,4
U236,F26,4
U236,F19,4
U236,F23,4
U236,F21,3
U236,F5,3
U236,F24,3
U236,F28,3
U236,F11,3
